py_name,kr_name,jp_name,teacher,bio,birth_date,death_date,display_birth_date,display_death_date,works,links
Yunyan Tansheng,Un Am,Ungan Donjo,Yaoshan Weiyan,"Yunyan, from Jianchang, became a monk at age 16 at Shimen Temple under the teaching of Baizhang Huaihai (720-814). Yunyan stayed with Baizhang, 20 years, until Baizhang's death. He then visited many teachers before settling with Yaoshan Weiyan (751-834). Yunyan later taught at Yunyan Mountain (""Cold Crag Mountain""), near modern Changsha. Recorded dialogues involving Yunyan often also include Daowu Yuanzhi (769-835), his fellow student (and maybe his biological brother) under Yaoshan. Yunyan supposedly died from illness, the day before which he ordered his students to prepare for a banquet because a monk was preparing to depart the monastery. Some sources say that both Dongshan's Five Ranks and the ""Song of the Jeweled-Mirror Samadhi"" (usually attributed to Dongshan) were actually passed down to Dongshan from Yunyan. Posthumous title: Great Teacher No Abode.
<br>Appears in: BCR70, BCR72, BCR89/BOS54, BOS21, BOS49",780,841,780,841,,"http://www3.telus.net/public/sarlo/Oshobob/Yunyan-Tansheng.htm
https://www.bowzwestchester.org/p/characters.html"
Chuanzi Decheng,,Senshi Tokuju,Yaoshan Weiyan,"Chuanzi Decheng also known as the ""Boatman"" or ""Boat Monk,"" was a disciple and Dharma heir of Yaoshan. His lay home was located in Suining (now a place in modern Sichuan Province). Decheng studied with Yaoshan for thirty years and received the mind seal. Later, he lived in relative seclusion at Huating, on the bank of the Wu River (in the area of modern Shanghai), where he used a small boat to ferry people across the river.
<br>One day a young monk named Shanhui (805–881) came to seek out this monk for instructions. After some exchange of words, Decheng realized the potential of Shanhui, so he posed a question to him. When Shanhui tried to answer, Decheng knocked him off the bot into the river and retorted, ""Speak, speak!"" At this point the young monk became enlightened. Decheng pulled him up and said,""Today I have finally caught a big golden fish!"" The two stayed all night on the river, sometimes talking, sometimes silent. In the morning Decheng bade farewell to Shanhui and left him on the shore. He said to him,""I studied under Yangshan for thirty years. Today I have repaid his kindness. From now on, you need not think of me again.""Then he rowed the boat to the middle of the river and tipped it over and disappeared ""without a trace."" Shanhui later became a Chan master at Mount Jia.",,,780,850,,"http://web.archive.org/web/20111014154920/http://livingworkshop.net/chuanzi.html
https://terebess.hu/zen/boatmonk.html"
Muzhou Daoming,Muk Ju,Bokushu Domyo,Huangbo Xiyun,"Muzhou studied the vinaya as a youth, then became a disciple of Huangbo. Afterwards he lived at the temple Guanyin yuan in Muzhou in present Zhejiang, then at Longxing si, a temple that later texts call Kaiyuan si. There people called him Chen Puxie (Rush-sandal Chen) from the rush sandals he plaited and hung under the eaves of the temple to give or sell to passersby. His methods of handling such students as came to him were eccentric, even violent, but he appears to have been much respected among his contemporaries. Yunmen (864-949) is said to have studied with him and come to great enlightenment under him (this is perhaps doubtful as Yunmen would have been only 13 when Muzhou died).
<br>Appears in BOS86, BCR10",780,877,780,877,"Muzhou yulu (Recorded sayings of Muzhou), apparently not available in English.",https://www.bowzwestchester.org/p/characters.html
Hangzhou Tianlong,Cheol Ryong,Koshu Tenryuo,Damei Fachang,,,,780,850,,https://www.bowzwestchester.org/p/characters.html
Hong Cheok,,,Xitang Zhizang,Korean monk. Established the Sil Sang San school of Seon (one of the Nine Mountain Schools of Korean Seon),,,780,850,,https://en.wikipedia.org/wiki/Nine_mountain_schools
Shishi Shandao,,Sekishitsu Zendo,Changzi Kuang,"Mentioned in the record of Linji: Someone asked, ""The lay worker Shishi in treading the pestle shaft of the rice mortar would forget he was moving his feet; where did he go?"" ""Drowned in a deep spring!"" the master replied. <br>Lay worker Shishi translates to Shishi Xingzhe, another name for Shandao. During the proscription of Buddhism of 843 to 845 Shandao lived in a stone grotto in present Hunan. There he took off his monk's robes and assumed the dress of a ""lay worker"", a layman who lives in a temple and engages in menial work but does not shave his head. After the proscription was lifted, elder monks gathered around Shandao. He did not resume wearing his robes, however, spending his days instead treading the pestle shaft of the rice mortar to provide food for his students.",781,872,781,872,,"https://www.bowzwestchester.org/p/characters.html#XUEFENG
http://www3.telus.net/public/sarlo/Oshobob/Xuefeng.htm
https://en.wikipedia.org/wiki/Xuefeng_Yicun
https://terebess.hu/zen/xuefeng.html"
Deshan Xuanjian,Dok Sahn,Tokusan Senkan,Longtan Chongxin,"Though his lineage is from Shitou, Deshan employed the vigorous methods more common among Mazu's descendants: he was a fiery teacher fond of using the stick to cajole his monks to greater efforts. (""If you speak, you get thirty blows. If you do not speak, you get thirty blows,"" he said.) Through Xuefeng, Deshan is the ancestor to two of the Five Houses of Zen: the Yunmen and Fayan Schools. Deshan was a scholar focused on the Vinaya, and became famous for his knowledge of the Diamond Sutra. After an encounter with an old woman convinced him that scriptural study was insufficient, he studied Zen under Longtan. Under Emperor Wuzong of Tang a brief but intense Great Anti-Buddhist Persecution forced Deshan from a thirty year long position in Lizhou into hiding on Mt. Dufu. Afterwards the governor of Wuleng in the Lang Region (Hunan) asked Deshan to come to live on Mount Virtue (Mount De, i.e. Deshan), where he established his monastery and taught. Posthumous name: Great Master Jianxing.
<br>Appears in: GG28, BCR4, BOS22, GG13/BOS55, BOS14",782,865,782,865,,
Gaoan Dayu,,Koan Daigu,Guizong Zhichang,Appears in: BOS 86,,,782,852,,
Hye Jeol,,,Xitang Zhizang,"Korean monk. Arrived in China in 814, the year of Xitang's death but his practice was so strong Xitang was able to give him transmission. Established the Dong Ni San school of Seon (one of the Nine Mountain Schools of Korean Seon)",785,861,785,861,,https://en.wikipedia.org/wiki/Nine_mountain_schools
Weon Gam,,,Zhangjing Huaiyun,Korean monk. Established the Bong Nim San school of Seon (one of the Nine Mountain Schools of Korean Seon) with his student Simhui,787,869,787,869,,https://en.wikipedia.org/wiki/Nine_mountain_schools
Changsha Jingcen,Jang Sa,Chosha Keishin,Nanquan Puyuan,"Ordained as a monastic at an early age. Although he is known to have lived in the city of Changsha at Lushan Temple, he roamed China expounding the Dharma according to the situations he encountered. He possessed an extremely pointed and aggressive style of instruction. Thus, after he literally climbed on top of Yangshan, he was widely likened to a tiger and nicknamed ""Tiger Cen."" The lamp records offer evidence of his incisive lectures.
<br>Appears in: BCR36, GG46/BOS79",788,868,788,868,,https://www.bowzwestchester.org/p/characters.html
Guishan Daan,,Isan Daian,Baizhang Huaihai,"Grew up and taught in ancient Fuzhou (in modern Fujian Province). At the age of twenty, he went to Mt. Huangbo in Jiangxi and studied the Vinaya. Later he declared, ""Despite my hard efforts I still haven't encountered the principle of the great mystery."" He thereafter set off in search of the truth. On the advice of an old man he met on the road, he traveled to Nanchang City in Jiangxi and began study under Baizhang Huaihai. His Dharma brother Guishan L had established temple on Mt. Gui, and when Guishan L died, Guishan D, then age 60, was invited to assume the abbacy of that temple. Later, he taught at Changqing Monastery, Fu Region (Fujian).
Posthumous title: ""Zen Master Perfect Wisdom.”
<br>Appears in: BOS87",793,883,793,883,,https://www.bowzwestchester.org/p/characters.html
Doyun,,,Nanquan Puyuan,Korean monk. Established the Sa Ja San school of Seon (one of the Nine Mountain Schools of Korean Seon),797,868,797,868,,https://en.wikipedia.org/wiki/Nine_mountain_schools
Xiangyan Zhixian,Hyang Eom,Kyogen Chikan,Guishan Lingyou,"Came from ancient Qingzhou (the modern city of Yidu), Shandong. Extremely intelligent and quick witted; first studied under Baizhang, but was unable to penetrate the heart of Zen. After Baizhang died, Xiangyan studied under Guishan. Despite his cleverness, he was unsuccessful at realizing his teacher's meaning. Years later, his mind far removed from his earlier confused attempts to attain what he thought to be enlightenment, Xiangyan realized the great way. Xiangyan's death is recorded as 898. Since Baizhang died in 814, Xiangyan was very young when he studied with Baizhang and very old at death.
<br>Appears in: GG5 (Man up a tree)",,898,798,898,,"https://www.bowzwestchester.org/p/characters.htm
https://terebess.hu/zen/mesterek/MayuBaoche.html"
Cuiwei Wuxue,,Suibi Mugaku,Danxia Tianran,"Wuxue was a disciple of Danxia Tianran. His life is obscure. The first meeting between Cuiwei and Danxia is recorded in the lamp records. Cuiwei asked Danxia, ""What is [the teaching of] all buddhas?"" Danxia exclaimed, ""Fortunately, life is fundamentally wonderful. Why do you need to take up a cleaning cloth and broom?"" Wuxue retreated three steps. Danxia said, ""Wrong."" Wuxue again came forward. Danxia said, ""Wrong. Wrong."" Wuxue then lifted one foot into the air, spun in a circle and went out. Danxia said, ""Such an answer! It's turning one's back on all the buddhas."" Upon hearing these words, Wuxue attained great enlightenment.",,,800,880,,https://www.bowzwestchester.org/p/characters.htm
Mu Yeom,,,Magu Baoche,Korean monk. Established the Seong Ju San school of Seon (one of the Nine Mountain Schools of Korean Seon),800,888,800,888,,https://en.wikipedia.org/wiki/Nine_mountain_schools
Jiashan Shanhui,,Kassan Zenne,Chuanzi Decheng,"Jiashan left home at a young age for monastic life. After taking the monk's vows at age twenty, he focused on sutra study. One day while lecturing to the assembly about a sutra, a visiting monk, Daowu Yuanzhi (769-835), began laughing and said that Jiashan needed a teacher because his sutra lecture was missing the point. Daowu recommended that Jiashan go see Chuanzi, ""the Boat Monk,"" Daowu's dharma brother who ""hasn't a tile to cover his head above, nor a gimlet point of earth to stand on below."" Although Jiashan's understanding of Buddhism was already extensive, he did not attain complete awakening until meeting Chuanzi. After giving transmission to Jiashan, his only successor, Decheng told him to avoid crowded cities, live in the mountains, and concentrate on finding a successor to keep the dharma alive. He then tipped over his boat and was never seen again. Jiashan then moved into the mountains to live in seclusion, but large numbers of students came to study with him, building thatched huts scattered around Jiashan's. Finally, in 870, the assembly moved to Mt. Jia where they built a temple. Jiashan was the first Zen master known to closely link Zen with drinking tea. He described their intimacy as ""Zen, tea, one taste.”
<br>Appears in: BOS35, BOS68",805,881,805,881,,"http://web.archive.org/web/20111013094024/http://livingworkshop.net/jiashan.html
https://terebess.hu/zen/mesterek/JiashanShanhui.html
https://www.bowzwestchester.org/p/characters.html"
Dongshan Liangjie,Dong Sahn,Tozan Ryokai,Yunyan Tansheng,"Dongshan was born in Kuaiji (present-day Shaoxing, Zhejiang), south of Hangzhou Bay. He started private studies in Chan at a young age, and showed promise by questioning the fundamental Doctrine of the Six Roots during his tutor's recitation of the Heart Sutra. Though only 10-years-old, he then left home to train with Lingmo at the monastery on Wutai Mountain. At 21, he went to Shaolin Monastery on Mount Song, where he took the complete monk's precepts. He wandered extensively among the Chan masters and hermits in the Hongzhou region. He studied with Nanquan (748-835), and then with Guishan (771-853), before settling down with Yunyan. At 52, Dongshan established a school at Mount Dong, Rui Region (Jiangxi) where he had 500-1,000 students at any given time. He is the founder of the Caodong (Soto) school, one of the Five Houses of Zen, named after him and his pupil, Caoshan (Hence ""Caodong"" from CAOshan + DONGshan -- in Japanese, ""Soto"" from SOzan + TOzan). Dongshan announced the end of his life several days before the event and told his students to create a ""delusion banquet."" After a week of preparations, he took one bite of the meal and, telling the students not to ""make a great commotion over nothing,"" went to his room and died.
Dongshan is the author of the ""Song of the Jeweled-Mirror Samadhi"", and is also known for his teaching on ""The Five Ranks"" (The Absolute within the Relative; The Relative within the Absolute; The Coming from Within the Absolute; The Contrasted Relative Alone; and Unity Attained). Posthumous name: Great Master Wuben.
Appears in: BOS22, BCR43, BOS49, BOS56, BOS89, BOS94, BOS98",807,869,807,869,Song of the Jeweled-Mirror Samadhi,"https://www.bowzwestchester.org/p/characters.html
http://www3.telus.net/public/sarlo/Oshobob/Dongshan-Liangjie.htm"
Shishuang Qingzhu,Sok Sanh,Sekiso Keisho,Daowu Yuanzhi,"He came from the city of Xingan near ancient Luling, was ordained by Zen master Xishan Shaolong on Mt. Tai at the age 23, and began studying the Vinaya. Finding this path to be too slow, he traveled to Mt. Gui, where he studied with Guishan Lingyou and worked preparing food in the kitchen. Later, he was a disciple of Yaoshan, and then of Yaoshan's disciple, Daowu. After Daowu's death, and during the Huishang persecution (845-847), Shishuang stayed in Linyang working as a ceramic assistant. When the persecution ended, Dongshan Liangjie sent his monk to find him. Eventually, Shishuang constructed his temple on Mt. Shishuang in Hunan Province, and taught there for 20 years. (Another Chan master, Shishuang Chuyuan, taught at this location about 200 years later.) Shishuang created ""seven instructions to practice,"" short maxims to help his students in meditation, such as ""cold ash or dry wood,"" ""white silk,"" ""censer in an old temple,"" etc. These maxims were criticized, along with ""silent illumination"" generally, by Dahui Zonggao. Some of Shishuang's students meditated extremely rigorously, without movement, even without sleeping. Shishuang's reputation spread to Emperor Xizong, who offered him an honorary purple robe, which Shishuang did not accept. Posthumous name: Great Teacher of Universal Understanding.
Appears in: BCR91/BOS25, BCR55, BOS68, BOS89, BOS96",807,883,807,883,,https://www.bowzwestchester.org/p/characters.html
Guangxiao Huijue,,Koko Ekaku,Zhaozhou Congshen,"When Guangxiao, a disciple of Zhaozhou, went to see Master Fayan, he was asked where he had been recently. ""With Zhaozhou,"" he answered. Fayan asked, ""I have heard about Zhaozhou and the oak tree; isn't this so?"" Guangxiao said, ""It is not so!"" Fayan commented, ""But everyone says that when a monk asked about the meaning of Damo's coming from the West, Zhaozhou answered, `The oak tree in the front garden.' How can you say it was not so?"" Guangxiao replied, ""My master said nothing of the kind! Please do not insult the late master."" Fayan commented, ""Truly you are a lion's cub!""",,,810,880,,"https://www.bowzwestchester.org/p/characters.htm
http://www3.telus.net/public/sarlo/Oshobob/Guangxiao-Huijue.htm"
Gantan Ziguo,,,Deshan Xuanjian,"With nearly every monk who came to see the master, he used to strike with the staff and then often left.",,,810,880,,https://www.bowzwestchester.org/p/characters.html
Jingzhao Mihu,,Keicho Beiko,Guishan Lingyou,"Little is known. He taught in the ancient Chinese capital city, Jingzhao (also known as Changan) from which he gets his name. Mihu means ""Mi the Foreigner,"" and he was also called Master Mi the Seventh, since, in lay life, he was the seventh child of his house. He was known for a magnificent beard.
<br>Appears in BOS62",,,810,880,,https://www.bowzwestchester.org/p/characters.html
Jinhua Juzhi,Gu Ji,Kinka Gutei,Hangzhou,"Jinhua Juzhi lived during the time of the fierce persecution of Buddhism under Emperor Wuzong (reigned 840-46). Jinhua worked in what is now the province of Zhejiang, at Jinhua. There is a temple in the Province of Fujian in which there is said to be a clay figure of Jinhua Juzhi, and it is possible that he was buried there. His teacher, Hangzhou, is said to started the technique of holding up one finger, though Jinhua became famous as the chief representative of the group of teachers who made use of it.
<br>Appears in: BCR19/BOS84, GG3",,,810,880,,https://www.bowzwestchester.org/p/characters.html
Beom Il,,,Yanguan Qian,Korean monk. Established the Sa Gul San school of Seon (one of the Nine Mountain Schools of Korean Seon),810,889,810,889,,https://en.wikipedia.org/wiki/Nine_mountain_schools
Linji Yixuan,Lin Chi,Rinzai Gigen,Huangbo Xiyun,"Linji is the founding figure of the Linji House, one of the five houses of Zen. Taught at Linji Monastery, Zhen Region (Hebei). Posthumous name: Great Master Huizhao.
<br>Appears in BOS86, BCR32, BOS13, BOS38, BOS95, BCR20/BOS80",812,867,812,867,"The Record of Linji has 5 parts and is available with commentary in translations by Ruth Fuller Sasaki (1975), Burton Watson (1993), Thich Nhat Hanh (Nothing to Do, Nowhere to Go, 2007, includes the first two parts, about 2/3rds of the whole), Broughton and Watanabe (2013).",https://www.bowzwestchester.org/p/characters.html
Moshan Liaoran,,Massan Ryonen,Gaoan Dayu,"Moshan was the first woman to appear in the lineage chart, and was considered one of the major teachers of her time. She was a contemporary of Linji. Her male student Guanxi Xian famously declared ""I received half a ladle at Father Linchi's place and half a ladle at Mother Moshan's. Since I took that drink I've never been thirsty.""",,,812,882,,
Yangshan Huichi,Ang Sahn,Kyozan Ejaku,Guishan Lingyou,"Yangshan became a monk at age 17. When his parents at first refused permission for him to leave home to become a monk, he cut off two of his fingers to demonstrate his resolve. He studied with various masters, including Danyuan Yingzhen, disciple of National Teacher Nanyang Huizhong. With Danyuan, Yangshan had his first great insight. After Danyuan's death, he went to study with Guishan Lingyou and became Guishan's main disciple. Together they are the founders of the Guiyang school, one of the ""Five Houses of Zen"" (""Guiyang"" from GUIshan + YANGshan). Teacher and pupil had the closest spiritual affinity. The Guiyang school is thus characterized by the gentle master-disciple-friends style of teaching, in contrast to the fervent, energetic, and often physical methods employed by other descendants of Mazu (e.g., Huangbo, Linji). The school is also distinct in its use of esoteric metaphors and imagery. Yangshan taught at Mt. Yang, Yuan Region (Jiangxi). Posthumous name: Tongzhi.
<br>Appears in BOS72, BOS15, BOS37, GG25/BOS90, BCR34, BCR68, BOS26, BOS32, BOS62, BOS77",814,890,814,890,,https://www.bowzwestchester.org/p/characters.htm
Liu Tiemo,Cheol Ma Yu,Ryu Tetsuma,Guishan Lingyou,"Liu was her family name. Tiemo was a nickname meaning ""Iron Grindstone."" After receiving the Dharma seal from Guishan, Liu lived a few miles away from him and would periodically come to visit. She taught Zen in a style described as ""precipitously awesome and dangerous."" Her ability to test the true mettle of Zen adepts brought her the name ""Iron Grinder.""
<br>Appears in BCR24/BOS60/REH66, REH67",,,815,885,,https://www.bowzwestchester.org/p/characters.html
Lingyun Zhiqin,,Reiun Shikin,Guishan Lingyou,"Little is known of Master Lingyun Zhiqin, as his poem and the details of his life have come to us through inclusion in several significant collections of gongans. He is said to have been a student of Master Dawei Lingyou. His poem, ""Searching for a Sword for Thirty Years,” recalls his attainment of enlightenment upon seeing peach blossoms.

<br><br>Searching for a sword for thirty years—
<br>Many times the leaves have fallen to sprout anew.
<br>Following one glance at a peach blossom,
<br>I no longer have any more doubts.
<br><br>Appears in REH27",,,815,885,,"https://www.bowzwestchester.org/p/characters.html
https://terebess.hu/zen/mesterek/lingyun.html"
Touzi Datong,Tu Ja,Tosu Daido,Cuiwei Wuxue,"From ancient Shuzhou (in the southern part of modern Anwei Province). Left home as a young man to study under a Zen master named Bao Tangman. He first studied meditation techniques of the Anapana Sutra. Some time later he read the Flower Garland Sutra and proceeded to study under Cuiwei Wuxue. After his enlightenment under Cuiwei, he roamed throughout China, eventually returning to his old home and settling on Mt. Touzi. There he built a thatched hut and remained obscure for more than thirty years. Touzi's eminence as a Zen adept could not be concealed, and the great Zhaozhou came looking for him.
<br>Appears in: BCR91, BCR41/BOS63, BCR80, BCR79
<br><br>Master Joshu asked Master Tosu Daido: What is the situation of a man who has experienced the great death and lives again? <br>Master Tosu said: I will not allow such a person to walk around at night. When it has become light in the morning, he can come here.",819,914,819,914,,https://www.bowzwestchester.org/p/characters.htm
Wuzhuo Wenxi,Mu Chak,Mujaku Bunki,Yangshan Huichi,"After three years on Mount Wutai (Taishan), Wuzhuo became the disciple and heir of Yangshan. At age 76, three years before his death, the title ""Chan Master Wuzhuo"" (""No Attachment"") imperially bestowed upon him. The Old Woman of Taishan (see GG31/BOS10) may have formally studied with Wuzhuo. In any case, they appear to have traveled on pilgrimage together.
<br>Appears in: BCR35/REH11, REH12",821,900,821,900,,https://www.bowzwestchester.org/p/characters.html
Xuefeng Yicun,Seol Bong,Seppo Gison,Deshan Xuanjian,"Xuefeng left home at age 12 to live at Yujian Temple (Putian City). At age 19, the five-year suppression of Buddhism (841-846) forced Xuefeng from the monastery, yet his training continued, now with Yuanzhao on Lotus Mountain (Hunan). When the suppression ended, Xuefeng began traveling around, visiting various monasteries in Northern China before settling down at Wuling (Hunan) to study with Deshan. At length, Deshan authorized him to teach, and Xuefeng returned to Lotus Mountain and built a monastery on the top of Guangfu Xuefeng (Snow Summit), in the Fu Region (Fujian). In the mid-870s, his monastery was officially recognized by the authorities and his teachings were supported by several officials in the region, leading eventually to Xuefeng receiving from Emperor Xizong a purple robe and the title of ""Grand Master of the truly enlightened."" In 891, now almost 70, Xuefeng went traveling again. Soon he joined the attendants of Yang Xingmi, ruler of the newly established Wu regime, ""cleansing soldiers with dharma-rain and performing ceremonies at Chan monasteries"". This strengthened his reputation ""as a Buddhist prelate who administered to the needs of local rulers"". In 894, he returned to the Min region, where he lived out his days as a state prelate, a master with a central role in promoting Buddhism who spread his influence throughout the region. Posthumous name: Great Master Zhenjue. Two of the Five Houses of Zen descend from Xuefeng: the Yunmen school (from Xuefeng's immediate heir, Yunmen), and the Fayan school (from heir Xuansha to Luohan to Fayan).
<br>Appears in GG13/BOS55, BCR5, BCR22/BOS24, BCR51/BOS50, BCR66",822,908,822,908,Record of Discussions in the Palace regarding the Buddha Mind-seal (not available in English) records Xuefeng's conversations with Wang Shenzhi.,"https://www.bowzwestchester.org/p/characters.html#XUEFENG
http://www3.telus.net/public/sarlo/Oshobob/Xuefeng.htm
https://en.wikipedia.org/wiki/Xuefeng_Yicun
https://terebess.hu/zen/xuefeng.html"
Guanzhi Zhixian,,Kankei Shikan,Linji Yixuan,"Guanzhi also studied under and venerated the nun, Moshan Laoran. Yuanwu presents this story in his commentaries on Xuedou's verse to Blue Cliff Records case 52. A travelling monk asked Guanxi (Flowing Mountain Stream), ""I've heard about Guanxi for a long time. Now that I get here, I only see a pond for soaking hemp."" Guanxi said, ""You only see the hemp soaking pond. You don't see the flowing mountain stream."" The monk asked, ""What is the flowing mountain stream?"" Guanxi said, ""The arrow whistles past fast.""",,895,825,895,,
Yantou Quanhuo,Am Du,Ganto Zenkatsu,Deshan Xuanjian,"Born in Quanzhou and became a novice monk at Baoshu Temple in Changan. An avid traveler, Yantou eventually began studying under Deshan and went on to become master of Yantou Monastery, on Mount Yantou in Ezhou, Hubei. He was known for his sharpness and sagacity. During the period of the great persecution of Buddhism in China (841-846), he became a ferryman on a lake. In 887 his temple was raided by bandits, one of whom stabbed Yantou, murdering him. It is said that his scream at death could be heard for ten miles. Posthumous name: Great Master Qingyan.
Appears in: GG13/BOS55, BOS22, BCR51/BOS50, BCR66, BOS43, BOS75",828,887,828,887,,"https://www.bowzwestchester.org/p/characters.htm
""http://www3.telus.net/public/sarlo/Oshobob/Yantou.htm
https://en.wikipedia.org/wiki/Yantou_Quanhuo
https://terebess.hu/zen/yantou.html"""
Quinshan,,,Dongshan Liangjie,,,,829,899,,https://www.bowzwestchester.org/p/characters.html
Ruiyan Shiyan,Seong Am Eon,Zuigan Shigen,Yantou Quanhuo,"Master Ruiyan Shiyan came from Fujian Province. He studied first with Master Jiashan Shanhui, before becoming a student of Master Yantou Quanhuo. Later, he settled and taught at Auspicious Cliff (Ruiyan) in Tanzhou, Hunan. He was known to often sit outside on a large rock, and could sometimes be heard calling out to himself, ""Master!""
<br>Appears in: BOS75, GG12",,,830,900,,"https://www.bowzwestchester.org/p/characters.htm
http://www3.telus.net/public/sarlo/Oshobob/Ruiyan.htm"
Xinghua Cunjiang,,Koko Sonsho,Linji Yixuan,"Lived and taught in ancient Weizhou (along the Yellow River, southwest of the modern city Jinan, Shandong). He studied with Linji, and after Linji died, was chief monk for his dharma sibling Sansheng, and later he saw Dajiao, another dharma sibling. Of Linji's three dharma heirs, only the line going through Xinghua survives.
<br>Appears in: BOS97",830,888,830,888,,https://www.bowzwestchester.org/p/characters.html
Baoshou Yanzhao,,,Linji Yixuan,,,,830,900,,https://www.bowzwestchester.org/p/characters.html
Sansheng Huiran,Sam Seong,Sansho Enen,Linji Yixuan,"Sansheng collected the written teachings and statements of Linji, producing The Record of Linji. After Linji's death, Sansheng visited many masters, including Yangshan, Xiangyan, Deshan, and Daowu among others. Each such meeting improved his skills. Eventually he settled in Zhenzhou (now the city of Zhengding in Hebei ) and taught at the Sansheng Monastery .
<br>Appears in BCR68, BOS13, BCR49/BOS33",,,830,900,,https://www.bowzwestchester.org/p/characters.html
Yunju Daoying,,,Dongshan Liangjie,,,902,830,902,,https://www.bowzwestchester.org/p/characters.html
Yuezhou Qianfeng,Koen Bong,Esshu Kempo,Dongshan Liangjie,"Lived in Yuezhou, in present-day Zhejiang. Otherwise, nothing is known.
<br>Appears in: BOS40, GG48/BOS61",,,831,899,,https://www.bowzwestchester.org/p/characters.html
"Dasui ""Shenzhao"" Fazhen",Dae Ju,Daizui Hoshin,Guishan Daan,"He came from ancient Zizhou (now the city of Santai in Sichuan Province). He is recorded to have experienced great enlightenment while still quite young. After becoming a monk at Huiyi Temple, he traveled extensively and studied with the teachers Daowu Yuanzhi [769-835], Yunyan Tansheng [780-841], and Dongshan Liangjie [807-69], among others. Some accounts describe him as a diligent student and heir of the Guiyang Zen lineage, although both the Transmission of the Lamp and the Book of Serenity describe him as a student of Changqing Da'an, making Guishan his Dharma uncle. Eventually returning to his native Sichuan, he first lived at Mt. Shankou's Longhuai Temple. Later he dwelled for more than ten years in a large hollow tree at the site of an old temple behind Mt. Dasui.
<br>Appears in: BCR29, BOS30",834,919,834,919,,https://www.bowzwestchester.org/p/characters.html
Luopu Yuanan,,Rakuho Genan,Jiashan Shanhui,"Luopu came from ancient Linyou (now located in modern Jiangxi Province). Ordained at the age of twenty, he was well versed in Buddhist scriptures and doctrine. He studied under Linji Yixuan (812-867) and served as Linji's attendant before leaving to build a hut on the mountain where Jiashan's monastery was. Eventually moving into Jiashan's monastery, Luopu studied with Jiashan for many years. After leaving Jiashan, he first lived at Lizhou (now Li County in Hunan Province) on Mt. Luopu, where he gained his mountain name. He then lived at Suxi (in modern Hunan Province). Luopu was known as a skilled expounder of Dharma, and students came from throughout China to study under him.
<br>Appears in: BOS35, BOS41",834,898,834,898,,https://www.bowzwestchester.org/p/characters.html
Qinglin Shiqian,,Seirin Shiken,Dongshan Liangjie,"Origins obscure. After training with Dongshan, Qinglin went to the Qingcun Mountains in Shannnafu and lived there in a hut. Ten years later, he suddenly remembered something Dongshan had told him and decided to act for the good of many people. He went to Suizhou, where he was invited to take the post of abbot in the Green Forest Monastery. Hence his name, ""Qinglin,"" which means ""Green Forest."" After some time he moved back to Mount Dong.
<br>Appears in: BOS59",,904,834,904,,https://www.bowzwestchester.org/p/characters.html
Longya,,,Dongshan Liangjie,,835,923,835,923,,https://www.bowzwestchester.org/p/characters.html
Xuansha Shibei,Hyeon Sa,Gensha Shibi,Xuefeng Yicun,"Xuansha came from ancient Fuzhou. As a young man he lived as a fisherman on the Nantai River, as did his father. ""Once when they were out fishing together, they had an accident and his father fell into the sea. Xuansha tried to save him but couldn't. After his father drowned, in his remorse and despair, Xuansha decided to become a monk and to practice Zen"" (Wick). At the rather late age of thirty he left lay life to enter a temple on Lotus Mountain. Later he was ordained by the Vinaya master Lingxun at Kaiyuan Temple in Yuzhang (near modern Nanchang). He carried on an ascetic practice, wearing only a patched robe and straw sandals. (""With straw sandals, muslin clothing, and turnips for food, he was content"" --Wansong, BOS81). He often fasted instead of taking the evening meal, and was regarded as unusual by the other monks. He was called ""Ascetic Bei.” His relationship with Xuefeng was like that of a younger brother. As his close disciple, Xuansha worked with Xuefeng to build his teacher's practice center. He is said to have awakened one day upon reading the words of the Surangama Sutra. After leaving Xuefeng he first lived at the Puying Monastery. Later he moved to Xuansha Mountain in Fuzhou, where he remained for the next thirty years. The governor of Min honored him, presenting him with the purple robe and the title ""Great Teacher of the One Doctrine.”
<br>Appears in: BOS21, BCR22/BOS24, BCR88, BOS81",835,908,835,908,,https://www.bowzwestchester.org/p/characters.html
Daguang Juhui,,,Shishuang Qingzhu,,837,903,837,903,,https://www.bowzwestchester.org/p/characters.html
Shushan Kuangren,,Sozan Kyonin,Dongshan Liangjie,"Shushan Kuangren is regarded as a disciple and Dharma heir of Dongshan Liangjie, but his search for enlightenment took him to many teachers. He came from ancient Jizhou (the site of the modern city of Ji'an in Jiangxi Province). Shushan eventually lived and taught at Mt. Shu. He was very short in physical stature, and thus earned the nick-name ""the dwarf teacher.” (Ferguson) He seems to have been a rather contradictory fellow who traveled around a lot to many teachers. In addition to being short, apparently he was also ugly and often sickly. The other monks contemptuously called him Uncle Dwarf. Yet he was cleverer than they and often bested them in Dharma combat. He was not well loved by his peers. It was said that his innate power in displaying the innermost mystery was that of a person who could chew the iron tip of an arrow. He was very tenacious. When monks were stumped in their studies, they would say, ""You only have to ask Uncle Dwarf."" He was a high-maintenance monk -- the burr under the saddle of many of his teachers. (Wick)
<br>Appears in: BOS87",837,909,837,909,,https://www.bowzwestchester.org/p/characters.html
